ivvi_dac14	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
-1450.0	-0.000272475754	4.41971e-05	0.798	2.652706237484029e-06	0.03423689759847695
-1452.2689075630253	-0.000268798947	4.49719e-05	1.29	2.7020997774881945e-06	0.03487439056594281
-1454.5378151260504	-0.000271917672	4.48229e-05	0.318	2.6925928068118987e-06	0.03475168976443048
-1456.8067226890757	-0.000266671366	4.52402e-05	0.738	2.7192285810612646e-06	0.035095461819754856
-1459.0756302521008	-0.000260406322	4.59256e-05	-0.168	2.7630436211618644e-06	0.03566095641542489
-1461.3445378151262	-0.000274415242	4.5568e-05	-0.228	2.740173236142995e-06	0.035365781993596926
-1463.6134453781513	-0.000280410538	4.5568e-05	-0.102	2.740173236142995e-06	0.035365781993596926
-1465.8823529411766	-0.000279344495	4.58064e-05	-0.372	2.755417645012402e-06	0.03556253248863336
-1468.1512605042017	-0.000264430592	4.527e-05	-1.542	2.721131856166944e-06	0.03512002625662092
-1470.420168067227	-0.000267360099	4.49123e-05	-0.426	2.6982965194405387e-06	0.034825304182204496
-1472.689075630252	-0.000268998302	4.5866e-05	-0.708	2.759230318647972e-06	0.03561174039375037
-1474.9579831932774	-0.000273537855	4.5717e-05	0.27	2.749699813365637e-06	0.03548873584511157
-1477.2268907563025	-0.000274826342	4.6313e-05	1.398	2.7878454271628183e-06	0.03598105853616228
-1479.4957983193278	-0.000275847896	4.64621e-05	1.026	2.797398077200197e-06	0.036104348893949506
-1481.764705882353	-0.000273222482	4.6164e-05	0.288	2.7783031231135894e-06	0.03585790170787479
-1484.0336134453783	-0.000273193193	4.56872e-05	0.75	2.7477941837540566e-06	0.03546414102004184
-1486.3025210084033	-0.000276309102	4.64024e-05	0.594	2.793572699576333e-06	0.03605497702603098
-1488.5714285714287	-0.000269221859	4.59256e-05	0.186	2.7630436211618644e-06	0.03566095641542489
-1490.8403361344538	-0.000265814801	4.62534e-05	0.186	2.7840280331445965e-06	0.03593178970788114
-1493.109243697479	-0.000263893897	4.5866e-05	-1.188	2.759230318647972e-06	0.03561174039375037
-1495.3781512605042	-0.000264218834	4.53594e-05	-1.098	2.726842622549123e-06	0.03519373171298571
-1497.6470588235295	-0.000263216427	4.53296e-05	-0.822	2.724938876891487e-06	0.03516916120298613
-1499.9159663865546	-0.000260067856	4.56872e-05	-0.834	2.7477941837540566e-06	0.03546414102004184
-1502.18487394958	-0.000260759967	4.53892e-05	-0.906	2.7287465250961915e-06	0.03521830424786363
-1504.453781512605	-0.000274514343	4.6015e-05	0.126	2.768764754419966e-06	0.035734795670875445
-1506.7226890756303	-0.000279360812	4.68495e-05	-0.816	2.822236759232927e-06	0.03642492695163986
-1508.9915966386554	-0.000270032795	4.74157e-05	0.078	2.8585874506736665e-06	0.03689408365014818
-1511.2605042016808	-0.000257359667	4.93529e-05	0.192	2.9833908048038163e-06	0.03850484612166596
-1513.5294117647059	-0.000255759195	5.0545e-05	-0.414	3.060526083466865e-06	0.03950038516760326
-1515.7983193277312	-0.000254887439	5.14688e-05	-0.888	3.1204772771504623e-06	0.04027413947558065
-1518.0672268907563	-0.000261207658	5.30782e-05	-0.948	3.2252911399047294e-06	0.04162690950164362
-1520.3361344537816	-0.000248849881	5.57902e-05	-1.788	3.402983760058076e-06	0.04392028219185347
