AMI430_Y_field	ivvi_dac14	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
0.76	1600.0	-0.000261036789	0.000151188	-4.41	2.1206636350069484e-05	0.2737014098530913
0.76	1604.040404040404	-0.000254350268	0.00015086	-4.374	2.1138260974598367e-05	0.27281892965412197
0.76	1608.080808080808	-0.000299195521	0.000150145	-4.152	2.098971084447623e-05	0.27090168170507817
0.76	1612.121212121212	-0.000276990278	0.000150234	-4.02	2.1008164471033136e-05	0.2711398516591506
0.76	1616.1616161616162	-0.000254646496	0.000150622	-4.014	2.1088737564402178e-05	0.27217976052952925
0.76	1620.20202020202	-0.000251174551	0.000150056	-4.356	2.0971267776386794e-05	0.2706636480228493
0.76	1624.2424242424242	-0.000262540454	0.000151516	-4.386	2.1275156584602464e-05	0.2745857596615926
0.76	1628.2828282828282	-0.000254933712	0.000152857	-4.338	2.155681226567592e-05	0.2782209215859251
0.76	1632.3232323232323	-0.000240295226	0.000153215	-4.122	2.1632419317313743e-05	0.27919673671692957
0.76	1636.3636363636363	-0.000209450951	0.000152768	-3.942	2.1538043343685557e-05	0.27797868230170364
0.76	1640.4040404040404	-0.000180969175	0.00015086	-3.972	2.1138260974598367e-05	0.27281892965412197
0.76	1644.4444444444443	-0.000163660699	0.000149221	-4.38	2.0798747047633945e-05	0.2684370258509468
0.76	1648.4848484848485	-0.000158362955	0.000147612	-4.446	2.0468900171248117e-05	0.26417988890512734
0.76	1652.5252525252524	-0.000148548586	0.000145853	-4.416	2.011215493413127e-05	0.25957559085684506
0.76	1656.5656565656566	-0.000134557182	0.000144602	-3.972	1.9860850384873145e-05	0.2563321528924732
0.76	1660.6060606060605	-0.000147386202	0.000142188	-3.792	1.93814909235298e-05	0.25014534616696144
0.76	1664.6464646464647	-0.000147034138	0.000136972	-4.218	1.8370102754667136e-05	0.23709196216221612
0.76	1668.6868686868686	-0.000128706276	0.000133784	-3.954	1.7767814764204205e-05	0.2293185902136398
0.76	1672.7272727272727	-0.000113132941	0.000131608	-4.296	1.7363408670461353e-05	0.2240991619090545
0.76	1676.7676767676767	-9.35194274e-05	0.000128568	-4.608	1.6807290158313782e-05	0.2169216718862346
0.76	1680.8080808080808	-0.000107060844	0.000126035	-4.482	1.6351624804656607e-05	0.21104067087983183
0.76	1684.8484848484848	-9.91860414e-05	0.000124098	-4.326	1.6007795898407633e-05	0.2066030762120531
0.76	1688.888888888889	-8.11820677e-05	0.000122131	-4.56	1.5662662448614735e-05	0.20214864457865228
0.76	1692.9292929292928	-7.69554818e-05	0.000119269	-3.906	1.5167583585543841e-05	0.1957589569085223
0.76	1696.969696969697	-6.72633266e-05	0.000116617	-3.384	1.4716173120365712e-05	0.18993287121052857
0.76	1701.010101010101	-8.17508696e-05	0.000114173	-2.82	1.4306277096068437e-05	0.18464258764592292
0.76	1705.050505050505	-7.34097635e-05	0.000113219	-2.748	1.414783934807722e-05	0.1825977261090294
0.76	1709.090909090909	-5.47378703e-05	0.000112653	-3.114	1.4054249574377103e-05	0.18138981870746407
0.76	1713.1313131313132	-5.37596471e-05	0.000112296	-3.318	1.3995374750338777e-05	0.18062995646065896
0.76	1717.171717171717	-6.62580741e-05	0.000110686	-2.952	1.3731351022552013e-05	0.17722235964346408
0.76	1721.2121212121212	-6.70487618e-05	0.000110001	-3.096	1.361975210587532e-05	0.17578201897235204
0.76	1725.2525252525252	-6.6333534e-05	0.000108421	-2.706	1.3363994361504546e-05	0.17248110627410143
0.76	1729.2929292929293	-5.19760863e-05	0.000107825	-3.276	1.326811280304672e-05	0.17124362017325956
0.76	1733.3333333333333	-4.95550128e-05	0.000106574	-4.596	1.3067906379550548e-05	0.16865967524828482
0.76	1737.3737373737374	-5.30128772e-05	0.000106186	-4.284	1.3006098688678242e-05	0.16786196023812203
0.76	1741.4141414141413	-4.80564266e-05	0.000106365	-4.116	1.3034596264333292e-05	0.16822976145399737
0.76	1745.4545454545455	-3.06786896e-05	0.000106127	-3.966	1.299671192980663e-05	0.16774081093869045
0.76	1749.4949494949494	-5.00674969e-05	0.000105948	-3.264	1.296825253937295e-05	0.16737350255669745
0.76	1753.5353535353536	-6.65571137e-05	0.000107497	-3.774	1.3215483634341239e-05	0.1705643668755512
0.76	1757.5757575757575	-6.12520594e-05	0.000109166	-4.038	1.3484302916838492e-05	0.1740338570578051
0.76	1761.6161616161617	-4.19443427e-05	0.00011307	-4.026	1.4123172242188657e-05	0.182279362482321
0.76	1765.6565656565656	-5.43639275e-05	0.000116826	-4.032	1.4751495676159873e-05	0.1903887583753238
0.76	1769.6969696969697	-5.45998903e-05	0.000119567	-4.146	1.5218745745722239e-05	0.19641927640194878
0.76	1773.7373737373737	-6.21232741e-05	0.000123532	-4.05	1.5908072393405084e-05	0.20531600439811123
0.76	1777.7777777777778	-7.16278971e-05	0.000129224	-4.308	1.6926432785160635e-05	0.21845937472619853
0.76	1781.8181818181818	-8.34893816e-05	0.000133933	-4.59	1.7795702928044176e-05	0.2296785261146102
0.76	1785.858585858586	-0.000117302092	0.000140727	-4.92	1.9094881639012857e-05	0.2464462510368176
0.76	1789.8989898989898	-0.00013759311	0.000146718	-4.23	2.0287088006264925e-05	0.26183334770628325
0.76	1793.939393939394	-0.000138066169	0.000151516	-3.396	2.1275156584602464e-05	0.2745857596615926
0.76	1797.979797979798	-0.000144591617	0.000155033	-3.36	2.2019097175413313e-05	0.28418735725541394
0.76	1802.020202020202	-0.000127552354	0.000157685	-3.708	2.2591470325259747e-05	0.2915746361943726
0.76	1806.060606060606	-0.000154584506	0.000159533	-3.636	2.2996269103255855e-05	0.29679913264045704
0.76	1810.1010101010102	-0.000157852583	0.000160576	-4.02	2.3226932478024684e-05	0.29977616727402795
0.76	1814.141414141414	-0.000157976482	0.000159414	-3.918	2.2970053152440615e-05	0.2964607789958562
0.76	1818.1818181818182	-0.00016634969	0.000159473	-4.122	2.2983048391736832e-05	0.2966285008003913
0.76	1822.2222222222222	-0.000155185413	0.00015843	-4.38	2.2754065717674096e-05	0.29367315796863214
0.76	1826.2626262626263	-0.000219576554	0.000156135	-4.35	2.2255729890641643e-05	0.2872414346067779
0.76	1830.3030303030303	-0.000191570685	0.00015387	-4.206	2.1771206677447345e-05	0.2809879824152711
0.76	1834.3434343434344	-0.000197571822	0.000151337	-3.894	2.1237744936475603e-05	0.274102909827785
0.76	1838.3838383838383	-0.000221801638	0.00014782	-3.888	2.0511349759480717e-05	0.26472776042775603
0.76	1842.4242424242425	-0.000253625235	0.00014645	-4.182	2.023278627349925e-05	0.26113250762159995
0.76	1846.4646464646464	-0.000244755874	0.000145257	-3.996	1.999218046044472e-05	0.2580271518657515
0.76	1850.5050505050506	-0.000252494953	0.000145108	-3.474	1.9962257543953028e-05	0.2576409546256283
0.76	1854.5454545454545	-0.000260697543	0.000145079	-3.654	1.9956436900368053e-05	0.2575658310497268
0.76	1858.5858585858587	-0.000270117141	0.000144632	-3.942	1.9866853625566255e-05	0.25640963314036674
0.76	1862.6262626262626	-0.000247075609	0.000145824	-4.014	2.010630675326063e-05	0.259500111873618
0.76	1866.6666666666667	-0.000242035239	0.000147731	-4.338	2.0493179337502024e-05	0.26449324562629967
0.76	1870.7070707070707	-0.000245015534	0.00014788	-4.446	2.0523605308352046e-05	0.2648859354890545
0.76	1874.7474747474748	-0.000230188961	0.000149281	-4.476	2.081111294134036e-05	0.26859662506723314
0.76	1878.7878787878788	-0.000227155165	0.000148625	-4.278	2.0676170331689888e-05	0.2668550012707526
0.76	1882.828282828283	-0.000192207096	0.000148327	-4.272	2.06150571227212e-05	0.2660662495244003
0.76	1886.8686868686868	-0.000201273568	0.000149042	-4.374	2.0761883714265593e-05	0.2679612527887672
0.76	1890.909090909091	-0.000180406435	0.000148715	-4.236	2.069465026161651e-05	0.2670935107067333
0.76	1894.949494949495	-0.000189226238	0.000146986	-4.206	2.034148238210126e-05	0.26253538347983657
0.76	1898.989898989899	-0.000144871543	0.000145645	-4.536	2.0070233158079306e-05	0.25903453149129746
0.76	1903.030303030303	-0.000138838304	0.000143887	-4.068	1.971810911669908e-05	0.25448987646076876
0.76	1907.0707070707072	-0.000133673474	0.000141324	-3.942	1.921168075985001e-05	0.247953707642147
0.76	1911.111111111111	-0.000133017943	0.000137866	-3.942	1.8541132898108748e-05	0.23929934623834248
0.76	1915.1515151515152	-0.000106467305	0.000136049	-3.888	1.8194511534244337e-05	0.2348257109852638
0.76	1919.1919191919192	-9.99508872e-05	0.000134052	-3.984	1.7817994273905974e-05	0.2299662272233189
0.76	1923.2323232323233	-0.000102405194	0.000130416	-3.936	1.714413329007141e-05	0.22126910532827085
0.76	1927.2727272727273	-9.93556277e-05	0.000127197	-3.888	1.655980066753782e-05	0.2137274726067726
0.76	1931.3131313131314	-0.000104483289	0.000125737	-3.762	1.629846957424999e-05	0.2103546280174375
0.76	1935.3535353535353	-7.5677693e-05	0.000121534	-3.546	1.5558702548441707e-05	0.2008068961384075
0.76	1939.3939393939395	-4.5654526e-05	0.000117958	-4.08	1.494355964464983e-05	0.19286761348887926
0.76	1943.4343434343434	-5.265023e-05	0.00011471	-4.128	1.4395844426813372e-05	0.1857985797748485
0.76	1947.4747474747476	-4.84653058e-05	0.000112564	-3.534	1.4039560813106763e-05	0.18120023962465615
