ivvi_dac14	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
2000.0	-0.000242856649	7.40592e-05	-1.38	4.636144509426594e-06	0.05983595265019808
1993.3333333333333	-0.000243730096	6.43735e-05	-1.458	3.9743894489929296e-06	0.05129507468972331
1986.6666666666667	-0.000240834374	6.36284e-05	-2.058	3.924235294899372e-06	0.05064776492975985
1980.0	-0.00023147254	6.45225e-05	-2.052	3.9844316700029776e-06	0.05142468364812361
1973.3333333333333	-0.000228241123	6.5953e-05	-1.878	4.081060460585707e-06	0.052671813828427075
1966.6666666666667	-0.000242039983	6.49099e-05	-1.77	4.010561347418712e-06	0.051761923813401854
1960.0	-0.000242740542	6.44331e-05	-1.788	3.978405827414563e-06	0.05134691169104488
1953.3333333333333	-0.000240622533	6.71451e-05	-2.076	4.161886648348014e-06	0.053714989237219415
1946.6666666666667	-0.000220005588	7.43573e-05	-2.31	4.656804462263847e-06	0.06010259834193863
1940.0	-0.000199335144	8.70829e-05	-2.748	5.555611969783688e-06	0.07170297088258049
1933.3333333333333	-0.000149739591	0.000109882	-2.52	7.252753686720641e-06	0.09360696701747993
1926.6666666666667	-0.000167421389	0.000138105	-3.186	9.523658778452108e-06	0.12291618489575178
1920.0	-0.000188321039	0.000164003	-3.258	1.1794024979370414e-05	0.15221844763163875
1913.3333333333333	-0.000237665992	0.000163526	-3.768	1.1750451585826168e-05	0.15165607182397772
1906.6666666666667	-0.000273237402	0.000137241	-3.876	9.451126241455491e-06	0.12198005069188825
1900.0	-0.000247281789	0.000104785	-3.516	6.863220170800852e-06	0.08857949020633875
1893.3333333333333	-0.000240851735	7.96323e-05	-2.904	5.0253479516520874e-06	0.06485916939698992
1886.6666666666667	-0.000247220969	6.48205e-05	-1.908	4.0045288686008755e-06	0.05168406620646716
1880.0	-0.000256121564	5.84426e-05	-0.756	3.578084106169964e-06	0.04618019794678322
1873.3333333333333	-0.00025383571	5.47173e-05	-0.246	3.332525003949957e-06	0.04301091304132224
1866.6666666666667	-0.000253262382	5.40914e-05	0.528	3.291519054561051e-06	0.04248167370440725
1860.0	-0.000250897134	5.46577e-05	-0.228	3.328617202149238e-06	0.04296047737370257
1853.3333333333333	-0.000249073653	5.47471e-05	-0.96	3.33447914955077e-06	0.043036134033334915
1846.6666666666667	-0.000246256774	5.46279e-05	-0.702	3.326663545908479e-06	0.04293526269756832
1840.0	-0.000251600509	5.54624e-05	-0.156	3.3814342102487974e-06	0.04364215500246166
1833.3333333333333	-0.000246910592	5.42107e-05	-0.174	3.2993294725649427e-06	0.042582478112231224
1826.6666666666667	-0.00024256476	5.42703e-05	0.228	3.3032323853573764e-06	0.04263285068033627
1820.0	-0.000244760484	5.53431e-05	0.072	3.3735963525509103e-06	0.043540996446869575
1813.3333333333333	-0.000245540447	5.54624e-05	0.654	3.3814342102487974e-06	0.04364215500246166
1806.6666666666667	-0.00024912321	5.54922e-05	0.084	3.383392441559249e-06	0.043667428726292326
1800.0	-0.000245618162	5.60286e-05	-0.528	3.4186686131043324e-06	0.044122717237243626
1793.3333333333333	-0.000240755358	5.62372e-05	-0.438	3.432401471405492e-06	0.04429995905043329
1786.6666666666667	-0.000238449257	5.75783e-05	-0.216	3.52088314670273e-06	0.04544193927187176
1780.0	-0.000226153993	5.83532e-05	-1.026	3.572160994879059e-06	0.04610375188130277
1773.3333333333333	-0.000230600067	5.93665e-05	-1.368	3.6393836709147525e-06	0.04697135487601375
1766.6666666666667	-0.000240784088	5.91578e-05	-2.064	3.62552273757381e-06	0.046792460074656754
1760.0	-0.000244218746	5.95751e-05	-1.95	3.6532461167718414e-06	0.04715026919851473
1753.3333333333333	-0.000233995313	6.08268e-05	-1.692	3.7365990610831738e-06	0.0482260559473804
