time	field_x	field_y	field_z	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
0.0	0.26125	-1.57828	1e-05	-0.00030788337	0.000226975	-5.49	4.214028092505364e-05	0.5438794776501518
0.816918134689331	0.26126	-1.57824	-0.0	-0.000311541071	0.000228168	-4.2	4.257868401399374e-05	0.5495376848993396
1.7198278903961182	0.26122	-1.5781	-0.0	-0.000318448216	0.000224442	-4.512	4.1224106892525996e-05	0.532054965726893
2.59574031829834	0.2612	-1.57797	-1e-05	-0.000288209394	0.000226975	-3.588	4.214028092505364e-05	0.5438794776501518
3.463653564453125	0.26119	-1.57786	-0.0	-0.00031917522	0.000227065	-4.902	4.217319824835427e-05	0.5443043219133931
4.334566354751587	0.26115	-1.57773	-2e-05	-0.000292257912	0.000227244	-4.086	4.22387424362961e-05	0.545150261663159
5.238476037979126	0.26112	-1.5776	-2e-05	-0.000281816929	0.000229151	-5.418	4.294330442886169e-05	0.5542436231708869
6.108389139175415	0.26111	-1.57747	-1e-05	-0.000324953759	0.000226111	-4.23	4.1825557223629875e-05	0.5398175265056184
6.9763023853302	0.26109	-1.57734	-2e-05	-0.000314014398	0.000224174	-4.692	4.1128318278076715e-05	0.530818679198947
7.852214574813843	0.26107	-1.57722	1e-05	-0.000313783901	0.000219674	-3.888	3.9551684550432305e-05	0.5104700078229324
8.75012469291687	0.26104	-1.57709	0.0	-0.00029883766	0.000220836	-4.956	3.9953151582442374e-05	0.5156515034102951
9.619037866592407	0.26102	-1.57698	-2e-05	-0.000287958563	0.000221313	-3.96	4.0119079646950385e-05	0.5177930379959952
10.489950895309448	0.261	-1.57684	-0.0	-0.000275317344	0.000225098	-4.356	4.1459492318404127e-05	0.5350929450583727
11.373862266540527	0.26098	-1.5767	-4e-05	-0.000271944024	0.000221104	-4.434	4.00462962468619e-05	0.5168536660517946
12.261773586273193	0.26097	-1.57659	0.0	-0.00025430421	0.000225485	-4.566	4.159896992615253e-05	0.5368930993710838
13.131686687469482	0.26094	-1.57644	-0.0	-0.000291145466	0.000221492	-4.488	4.018151658663861e-05	0.518598874345404
13.892610549926758	0.26092	-1.57634	0.0	-0.000323771491	0.000221671	-5.274	4.024404686147829e-05	0.5194059153159568
14.669532775878906	0.2609	-1.57623	1e-05	-0.000258760473	0.000222624	-3.732	4.057853933950081e-05	0.5237230102719289
15.559443950653076	0.26088	-1.5761	-1e-05	-0.000263689792	0.000220985	-5.076	4.000491157671454e-05	0.5163195387918814
16.428356885910034	0.26085	-1.57596	1e-05	-0.00027421635	0.000222982	-3.732	4.070488503264527e-05	0.5253536787934076
17.29727005958557	0.26083	-1.57585	-1e-05	-0.00027702088	0.000223191	-5.208	4.077882125602297e-05	0.5263079295403735
18.077191829681396	0.26082	-1.57573	2e-05	-0.000306983136	0.000221909	-3.894	4.0327332585296e-05	0.5204808344899949
18.854114294052124	0.2608	-1.57562	-1e-05	-0.000317223046	0.000220717	-4.278	3.99118591404762e-05	0.5151185664845209
19.724027395248413	0.26078	-1.5755	0.0	-0.000297400432	0.000221909	-4.518	4.0327332585296e-05	0.5204808344899949
20.59294056892395	0.26077	-1.57537	2e-05	-0.00027623467	0.000219763	-4.764	3.958229706564311e-05	0.5108651053025154
21.37586212158203	0.26074	-1.57525	2e-05	-0.000276802334	0.000223191	-4.692	4.077882125602297e-05	0.5263079295403735
22.262773513793945	0.26071	-1.57512	-0.0	-0.000286147947	0.00022021	-3.96	3.9736389590492036e-05	0.5128538856353679
23.131686687469482	0.2607	-1.575	1e-05	-0.000306096302	0.000222952	-4.746	4.069428282590805e-05	0.5252168424331461
23.89361023902893	0.26067	-1.57489	2e-05	-0.000291122475	0.000222326	-4.206	4.047365777559256e-05	0.5223693664674417
24.67153239250183	0.26065	-1.57477	0.0	-0.000251672644	0.000220717	-4.77	3.99118591404762e-05	0.5151185664845209
25.560518980026245	0.26063	-1.57465	-1e-05	-0.000247323893	0.000220419	-3.408	3.9808633652924946e-05	0.513786296670055
26.429518699645996	0.2606	-1.57452	2e-05	-0.000275305555	0.000221551	-4.182	4.0202116801923824e-05	0.5188647490401819
27.1885187625885	0.26059	-1.57441	2e-05	-0.000288732946	0.000224591	-4.65	4.127745637777331e-05	0.5327435157206821
28.078518629074097	0.26057	-1.57428	-2e-05	-0.000243770319	0.000222505	-4.866	4.0536625690588865e-05	0.5231820557985312
28.9625186920166	0.26054	-1.57416	-2e-05	-0.000273679104	0.000224859	-4.056	4.137358317959374e-05	0.5339841670313664
29.72351884841919	0.26053	-1.57405	-1e-05	-0.000264789647	0.000221879	-4.17	4.031682525890524e-05	0.520345222693788
30.482518672943115	0.26051	-1.57393	-1e-05	-0.000275883306	0.000223191	-4.044	4.077882125602297e-05	0.5263079295403735
31.373518705368042	0.26048	-1.57381	2e-05	-0.000258988551	0.000220151	-3.498	3.9716018012196956e-05	0.5125909618218855
32.15051865577698	0.26047	-1.57369	1e-05	-0.000285552174	0.000218631	-5.052	3.919460787749863e-05	0.5058614321301974
33.02051877975464	0.26044	-1.57356	-0.0	-0.000319133333	0.000221939	-4.728	4.0337842547109884e-05	0.5206164803000365
33.88951873779297	0.26042	-1.57343	1e-05	-0.000268680523	0.000221641	-5.184	4.023356040769652e-05	0.5192705729100678
34.66951870918274	0.26041	-1.57332	2e-05	-0.000281248532	0.000221939	-4.044	4.0337842547109884e-05	0.5206164803000365
35.44551873207092	0.26038	-1.57321	0.0	-0.000272470017	0.00022024	-3.798	3.974675184677007e-05	0.5129876250981351
